Sonny Callahan,Alabama
Terry Everett,Alabama
Bob Riley,Alabama
Robert Aderholt,Alabama
Robert E. Cramer,Alabama
Spencer Bachus,Alabama
Earl Hilliard,Alabama
Don Young,Alaska
Matt Salmon,Arizona
Ed Pastor,Arizona
Bob Stump,Arizona
John Shadegg,Arizona
Jim Kolbe,Arizona
J.D. Hayworth,Arizona
Marion Berry,Arkansas
Vic Snyder,Arkansas
Asa Hutchinson,Arkansas
Jay Dickey,Arkansas
Frank Riggs,California
Wally Herger,California
Vic Fazio,California
John Doolittle,California
Robert Matsui,California
Lynn Woolsey,California
George Miller,California
Nancy Pelosi,California
Ron Dellums,California
Barbara Lee,California
Ellen Tauscher,California
Richard Pombo,California
Tom Lantos,California
Pete Stark,California
Anna Eshoo,California
Tom Campbell,California
Zoe Lofgren,California
Sam Farr,California
Gary Condit,California
George Radanovich,California
Cal Dooley,California
Bill Thomas,California
Walter Capps,California
Lois Capps,California
Elton Gallegly,California
Brad Sherman,California
Howard McKeon,California
Howard Berman,California
James E. Rogan,California
David Dreier,California
Henry Waxman,California
Xavier Becerra,California
Matthew G. Martinez,California
Julian C. Dixon,California
Lucille Roybal-Allard,California
Esteban Edward Torres,California
Maxine Waters,California
Jane Harman,California
Juanita Millender-McDonald,California
Steve Horn,California
Ed Royce,California
Jerry Lewis,California
Jay Kim,California
"George Brown, Jr.",California
Ken Calvert,California
Sonny Bono,California
Mary Bono,California
Dana Rohrabacher,California
Loretta Sanchez,California
Chris Cox,California
Ron Packard,California
Brian Bilbray,California
Bob Filner,California
"Randy ""Duke"" Cunningham",California
Duncan Hunter,California
Diana DeGette,Colorado
David Skaggs,Colorado
Scott McInnis,Colorado
Bob Schaffer,Colorado
Joel Hefley,Colorado
Dan Schaefer,Colorado
Barbara Kennelly,Connecticut
Sam Gejdenson,Connecticut
Rosa DeLauro,Connecticut
Christopher Shays,Connecticut
James H. Maloney,Connecticut
Nancy Johnson,Connecticut
Mike Castle,Delaware
Joe Scarborough,Florida
Allen Boyd,Florida
Corrine Brown,Florida
Tillie Fowler,Florida
Karen Thurman,Florida
Cliff Stearns,Florida
John Mica,Florida
Bill McCollum,Florida
Michael Bilirakis,Florida
Bill Young,Florida
Jim Davis,Florida
Charles Canady,Florida
Dan Miller,Florida
Porter Goss,Florida
Dave Weldon,Florida
Mark Foley,Florida
Carrie P. Meek,Florida
Ileana Ros-Lehtinen,Florida
Robert Wexler,Florida
Peter Deutsch,Florida
Lincoln Diaz-Balart,Florida
Clay Shaw,Florida
Alcee Hastings,Florida
Jack Kingston,Georgia
Sanford Bishop,Georgia
Mac Collins,Georgia
Cynthia McKinney,Georgia
John Lewis,Georgia
Newt Gingrich,Georgia
Bob Barr,Georgia
Saxby Chambliss,Georgia
Nathan Deal,Georgia
Charlie Norwood,Georgia
John Linder,Georgia
Neil Abercrombie,Hawaii
Patsy Mink,Hawaii
Helen Chenoweth,Idaho
Mike Crapo,Idaho
Bobby Rush,Illinois
"Jesse Jackson, Jr.",Illinois
William Lipinski,Illinois
Luis Gutierrez,Illinois
Rod Blagojevich,Illinois
Henry Hyde,Illinois
Danny K. Davis,Illinois
Philip Crane,Illinois
Sidney Yates,Illinois
John Edward Porter,Illinois
Jerry Weller,Illinois
Jerry Costello,Illinois
Harris Fawell,Illinois
Dennis Hastert,Illinois
Thomas W. Ewing,Illinois
Donald Manzullo,Illinois
Lane Evans,Illinois
Ray LaHood,Illinois
Glenn Poshard,Illinois
John Shimkus,Illinois
Pete Visclosky,Indiana
David M. McIntosh,Indiana
Tim Roemer,Indiana
Mark Souder,Indiana
Steve Buyer,Indiana
Dan Burton,Indiana
Edward A. Pease,Indiana
John Hostettler,Indiana
Lee H. Hamilton,Indiana
Julia Carson,Indiana
Jim Leach,Iowa
Jim Nussle,Iowa
Leonard Boswell,Iowa
Greg Ganske,Iowa
Tom Latham,Iowa
Jerry Moran,Kansas
Jim Ryun,Kansas
Vincent Snowbarger,Kansas
Todd Tiahrt,Kansas
Ed Whitfield,Kentucky
Ron Lewis,Kentucky
Anne Northup,Kentucky
Jim Bunning,Kentucky
Hal Rogers,Kentucky
Scotty Baesler,Kentucky
Tom Allen,Maine
John Baldacci,Maine
Wayne Gilchrest,Maryland
Robert Ehrlich,Maryland
Ben Cardin,Maryland
Albert Wynn,Maryland
Steny Hoyer,Maryland
Roscoe Bartlett,Maryland
Elijah Cummings,Maryland
Connie Morella,Maryland
John Olver,Massachusetts
Richard Neal,Massachusetts
Jim McGovern,Massachusetts
Barney Frank,Massachusetts
Marty Meehan,Massachusetts
John Tierney,Massachusetts
Ed Markey,Massachusetts
Joseph P. Kennedy II,Massachusetts
Joe Moakley,Massachusetts
Bill Delahunt,Massachusetts
Bart Stupak,Michigan
Peter Hoekstra,Michigan
Vern Ehlers,Michigan
David Lee Camp,Michigan
James A. Barcia,Michigan
Fred Upton,Michigan
Nick Smith,Michigan
Debbie Stabenow,Michigan
Dale Kildee,Michigan
David E. Bonior,Michigan
Joe Knollenberg,Michigan
Sander Levin,Michigan
Lynn N. Rivers,Michigan
Carolyn Cheeks Kilpatrick,Michigan
John Conyers,Michigan
John Dingell,Michigan
Gil Gutknecht,Minnesota
David Minge,Minnesota
Jim Ramstad,Minnesota
Bruce Vento,Minnesota
Martin Olav Sabo,Minnesota
Bill Luther,Minnesota
Collin Peterson,Minnesota
James Oberstar,Minnesota
Roger Wicker,Mississippi
Bennie Thompson,Mississippi
Chip Pickering,Mississippi
Mike Parker,Mississippi
Gene Taylor,Mississippi
Bill Clay,Missouri
Jim Talent,Missouri
Dick Gephardt,Missouri
Ike Skelton,Missouri
Karen McCarthy,Missouri
Pat Danner,Missouri
Roy Blunt,Missouri
Jo Ann Emerson,Missouri
Kenny Hulshof,Missouri
Rick Hill,Montana
Doug Bereuter,Nebraska
Jon L. Christensen,Nebraska
Bill Barrett,Nebraska
John Ensign,Nevada
Jim Gibbons,Nevada
John E. Sununu,New Hampshire
Charlie Bass,New Hampshire
Rob Andrews,New Jersey
Frank LoBiondo,New Jersey
H. James Saxton,New Jersey
Chris Smith,New Jersey
Marge Roukema,New Jersey
Frank Pallone,New Jersey
